,name,built_date,price_min,price_max,plan_min,plan_max,area_min,are_max,address1,address2,line,station,walk_minutes
164,ヴァースクレイシア銀座東,2017/11,46900000,49000000,1LDK,1LDK,45.36,45.36,中央区,新富２,東京メトロ有楽町線,新富町,2
165,ウエリス千代田東神田,2018/9,47700000,84800000,1LDK,1LDK,42.47,71.77,千代田区,東神田２,ＪＲ総武線快速,馬喰町,4
166,シティテラス東陽町,2017/11,47900000,79980000,2LDK,4LDK,54.88,83.59,江東区,東陽２,東京メトロ東西線,東陽町,5
167,ガーデンコート多摩センター,2017/11,49580000,69880000,3LDK,4LDK,67.45,85.87,多摩市,落合１,小田急多摩線,小田急多摩センター,6
168,アネシア東京尾久,2018/10,49800000,61700000,3LDK,3LDK,65.79,69.34,北区,昭和町２,ＪＲ高崎線,尾久,2
169,ルフォン浅草橋,2018/3,49900000,49900000,2LDK,2LDK,58.32,58.32,台東区,浅草橋３,都営浅草線,浅草橋,5
170,パークホームズ品川大井,2017/11,52000000,94880000,2LDK,4LDK,59.0,88.31,品川区,大井７,ＪＲ京浜東北線,大森,11
171,ガーラ・レジデンス南馬込,2018/2,52000000,52000000,2LDK,2LDK,55.18,55.18,大田区,南馬込１,都営浅草線,馬込,7
172,パークホームズ落合南長崎,2017/128日,52900000,56900000,3LDK,3LDK,67.93,74.69,豊島区,南長崎２,都営大江戸線,落合南長崎,9
173,シティテラス大森西,2017/11,52980000,59980000,3LDK,3LDK,64.61,67.83,大田区,大森西４,ＪＲ京浜東北線,蒲田,15
174,サンクレイドル学芸大学　,2017/11,52980000,82980000,1LDK+S,3LDK,53.71,70.21,世田谷区,野沢３,東急東横線,学芸大学,13
175,ザ・パークハウス 亀戸,2018/1,53980000,55480000,3LDK,3LDK,72.06,72.06,江東区,亀戸７,ＪＲ総武線,亀戸,9
176,サンクレイドル御苑内藤町,2018/4,54800000,79400000,1LDK,1LDK,44.08,44.08,新宿区,内藤町,東京メトロ丸ノ内線,新宿御苑前,6
177,ヴィークステージ練馬豊玉,2017/11,54900000,54900000,3LDK,3LDK,71.28,71.28,練馬区,豊玉中４,西武池袋線,練馬,11
178,レ・ジェイド 駒込,2017/11,55980000,55980000,2LDK,2LDK,60.11,60.11,北区,西ケ原１,ＪＲ山手線,駒込,6
179,オープンレジデンシア表参道神宮前ザ・ハウス,2018/9,56300000,100000000,1R,3LDK※1R=Studio,30.25,80.17,渋谷区,神宮前３,東京メトロ銀座線,表参道,5
180,ブランズ国立,2017/11,56980000,100000000,2LDK,4LDK,65.12,91.07,国立市,東２,ＪＲ中央線,国立,7
181,シティタワー品川パークフロント,2019/4,58500000,66200000,3LDK,3LDK,65.05,70.37,品川区,南大井２,京急本線,大森海岸,5
182,ランドステージ文京千石,2017/11,58800000,58800000,2LDK+S,2LDK+S,60.86,60.86,文京区,千石２,都営三田線,千石,7
183,DEUX TOURS,2017/11,59800000,100000000,2LDK,3LDK,55.77,100.01,中央区,晴海３,都営大江戸線,勝どき,9
184,デュフレ渋谷本町,2018/3末,59900000,64800000,2LDK+S,2LDK+S,67.75,67.75,渋谷区,本町６,京王新線,幡ヶ谷,10
185,プロスタイル学芸大学,2017/12、2017/11,59980000,59980000,2LDK,2LDK,55.57,55.57,目黒区,碑文谷４,東急東横線,学芸大学,11
186,シティタワー調布南ステーションコート,2018/4,59980000,66980000,3LDK,3LDK,67.54,67.54,調布市,布田４,京王線,調布,4
187,ザ・パークハウス 日本橋大伝馬町,2018/9,60380000,100000000,1LDK,3LDK,54.37,70.78,中央区,日本橋大伝馬町,東京メトロ日比谷線,小伝馬町,4
188,シティタワー目黒,2017/11,61800000,100000000,1LDK,3LDK,40.38,72.15,品川区,西五反田３,東急目黒線,不動前,4
